filename,xRot
000000.jpg,336.8388873616521
000001.jpg,148.4843781385376
000002.jpg,244.82166088146363
000003.jpg,222.70063017141769
000004.jpg,172.35812081101162
000005.jpg,205.69212909145625
000006.jpg,198.1877938528883
000007.jpg,186.48975468193584
000008.jpg,161.1312909556453
000009.jpg,282.07591042509233
000010.jpg,67.15115130307355
000011.jpg,183.7158506703709
000012.jpg,358.4772158662756
000013.jpg,202.2110251138664
000014.jpg,330.58802592048784
000015.jpg,86.74188814555175
000016.jpg,119.41355763835026
000017.jpg,354.1271934381675
000018.jpg,36.99430626771558
000019.jpg,259.1496973774774
000020.jpg,96.97026452427592
000021.jpg,58.849730484186786
000022.jpg,293.7085945735944
000023.jpg,194.34968608277748
000024.jpg,136.08961657006208
000025.jpg,356.43532399066606
000026.jpg,50.995351283280975
000027.jpg,128.37230416590182
000028.jpg,344.89706075297727
000029.jpg,144.78664329443663
000030.jpg,202.71487674405915
000031.jpg,137.8489208283863
000032.jpg,28.632075478746977
000033.jpg,123.24100338873608
000034.jpg,152.4312974390767
000035.jpg,349.7040564137448
000036.jpg,157.23312066891555
000037.jpg,128.37627682092628
000038.jpg,8.685857280583225
000039.jpg,269.709057056311
000040.jpg,178.99774446670867
000041.jpg,240.83876265275035
000042.jpg,160.3322478003411
000043.jpg,93.92492991824284
000044.jpg,117.00489660116087
000045.jpg,258.06206523747926
000046.jpg,203.12645645931102
000047.jpg,252.17085522574462
000048.jpg,58.76939834608388
000049.jpg,307.75803779577365
000050.jpg,147.57171554698203
000051.jpg,83.63296602031654
000052.jpg,303.90506316931936
000053.jpg,201.92905484415988
000054.jpg,144.83580038432459
000055.jpg,165.63878555917069
000056.jpg,329.31773622596893
000057.jpg,174.32627772553045
000058.jpg,158.76343259583726
000059.jpg,94.23280535537366
000060.jpg,260.7804003966579
000061.jpg,318.06235130013124
000062.jpg,317.48141397263146
000063.jpg,335.98717092090425
000064.jpg,248.6453265889402
000065.jpg,275.0770189379214
000066.jpg,202.16866084192918
000067.jpg,22.14848365946845
000068.jpg,169.50566290727414
000069.jpg,148.6527919196954
000070.jpg,351.93517591899774
000071.jpg,181.45193511986787
000072.jpg,119.20774629252456
000073.jpg,275.8600457395727
000074.jpg,259.78227874660223
000075.jpg,155.4882849949059
000076.jpg,187.14577698817916
000077.jpg,281.35352395705434
000078.jpg,211.3856987854607
000079.jpg,87.2352028573699
000080.jpg,153.68437961106537
000081.jpg,160.31591370793493
000082.jpg,209.9626202734288
000083.jpg,57.026982209360256
000084.jpg,267.5158009459384
000085.jpg,38.813174365063894
000086.jpg,309.5164344075507
000087.jpg,348.27471470935797
000088.jpg,110.67446108788742
000089.jpg,13.728258020263286
000090.jpg,306.53749198895997
000091.jpg,52.67874408097222
000092.jpg,332.938746700569
000093.jpg,64.21205675544765
000094.jpg,124.36844719538237
000095.jpg,17.391366208811377
000096.jpg,185.8028243634146
000097.jpg,145.00151522005268
000098.jpg,141.72821880540798
000099.jpg,332.15594936720663
000100.jpg,38.40582964986545
000101.jpg,282.88041404561795
000102.jpg,39.81627160492812
000103.jpg,291.34013055542306
000104.jpg,160.1311898348959
000105.jpg,345.4942041149144
000106.jpg,191.3941970029708
000107.jpg,153.78158660141554
000108.jpg,202.40634150422332
000109.jpg,276.2169924523988
000110.jpg,279.7967175265168
000111.jpg,153.88998876468025
000112.jpg,143.50420524097518
000113.jpg,341.7774635003214
000114.jpg,33.10453079957902
000115.jpg,186.9788574697089
000116.jpg,75.7720431851596
000117.jpg,122.30421784730068
000118.jpg,197.2801462221014
000119.jpg,164.72248536518686
000120.jpg,208.50146333615533
000121.jpg,97.38677623139506
000122.jpg,2.514431301736688
000123.jpg,11.1856439169419
000124.jpg,155.86391424877442
000125.jpg,238.27454281530262
000126.jpg,216.32446991510201
000127.jpg,202.20617653063138
000128.jpg,298.6421457665697
000129.jpg,67.01033427394916
000130.jpg,97.84754175483224
000131.jpg,168.83876012587186
000132.jpg,227.47756098228737
000133.jpg,345.19080049521665
000134.jpg,293.17292910256117
000135.jpg,112.99071939647192
000136.jpg,299.54959926480166
000137.jpg,256.7149901730747
000138.jpg,197.61853164321013
000139.jpg,261.7178203295044
000140.jpg,120.3576026620334
000141.jpg,79.71237597709808
000142.jpg,266.28838608814493
000143.jpg,116.97959254212441
000144.jpg,98.83922801648822
000145.jpg,331.4763553566924
000146.jpg,24.99769537682561
000147.jpg,185.12261076956963
000148.jpg,164.52161309343566
000149.jpg,354.64917801410684
000150.jpg,2.9179759604609723
000151.jpg,318.461997696292
000152.jpg,162.517804163046
000153.jpg,20.399850294831733
000154.jpg,349.5297879484902
000155.jpg,82.58414054998211
000156.jpg,334.39012956692534
000157.jpg,291.10494317589
000158.jpg,208.57959527124402
000159.jpg,288.4699589494106
000160.jpg,268.9728360148325
000161.jpg,86.96972712267824
000162.jpg,351.6069427486336
000163.jpg,286.928625948633
000164.jpg,38.30827397259418
000165.jpg,170.9605705365841
000166.jpg,40.9181170880389
000167.jpg,99.84471246705657
000168.jpg,301.02279663781525
000169.jpg,231.97005095106468
000170.jpg,260.9476530865525
000171.jpg,102.188541300216
000172.jpg,308.2348063421238
000173.jpg,38.286402757192455
000174.jpg,196.42501388985139
000175.jpg,296.9765899850938
000176.jpg,224.04439777611026
000177.jpg,155.54184503879048
000178.jpg,249.49232209942502
000179.jpg,57.94881575033546
000180.jpg,157.6205494756487
000181.jpg,68.43269781865737
000182.jpg,266.91615031718965
000183.jpg,316.00059276978635
000184.jpg,88.29265741656609
000185.jpg,148.50400851205103
000186.jpg,270.4016942962258
000187.jpg,258.71253276271244
000188.jpg,236.01002204297922
000189.jpg,98.33531566211502
000190.jpg,295.07096737703364
000191.jpg,308.48277583972873
000192.jpg,287.53255549927
000193.jpg,137.0748864546563
000194.jpg,194.1214427679869
000195.jpg,127.09304763480236
000196.jpg,340.35557278726316
000197.jpg,197.5818209008777
000198.jpg,15.344650721128785
000199.jpg,266.42643810628675
000200.jpg,21.290899431472212
000201.jpg,252.35899587197525
000202.jpg,215.40604274002231
000203.jpg,115.54410823502806
000204.jpg,18.568330674620224
000205.jpg,116.50927239848271
000206.jpg,273.823443745684
000207.jpg,240.8620862851308
000208.jpg,2.4590483535047225
000209.jpg,213.31666485561016
000210.jpg,184.71149642331366
000211.jpg,175.67785600209842
000212.jpg,9.49613695777694
000213.jpg,48.34039092644975
000214.jpg,334.5344117839727
000215.jpg,242.6339063541369
000216.jpg,167.61328123015923
000217.jpg,357.8068457478777
000218.jpg,133.85607930129913
000219.jpg,4.7012939518419286
000220.jpg,72.13885677196194
000221.jpg,308.78482796089963
000222.jpg,155.8088121710685
000223.jpg,229.82769753631825
000224.jpg,51.34321912637415
000225.jpg,39.04880855168778
000226.jpg,334.7466648207701
000227.jpg,76.41004150567099
000228.jpg,352.42653223524604
000229.jpg,58.31979806298765
000230.jpg,339.9083720614118
000231.jpg,118.88046828263063
